Team1,Team2,Win,Year,WP1,WP2,PPG1,PPG2,3PPer1,3PPer2,FGPer1,FGPer2,FTPer1,FTPer2,FGPG1,FGPG2,3PPG1,3PPG2,FTPG1,FTPG2,ORPG1,ORPG2,DRPG1,DRPG2,APG1,APG2,TPG1,TPG2,SPG1,SPG2,BPG1,BPG2,PFPG1,PFPG2
1104,1328,1,2003,0.607142857,0.8,0.607142857,69.28571429,0.320143885,0.393673111,0.420362274,0.446933962,0.709897611,0.707885305,24.03571429,25.26666667,6.357142857,7.466666667,14.85714286,13.16666667,13.57142857,12.13333333,23.92857143,24.96666667,12.10714286,14.16666667,13.28571429,11.8,6.607142857,6.933333333,3.785714286,3.766666667,18.03571429,18.6
1272,1393,1,2003,0.793103448,0.827586207,0.793103448,74.51724138,0.348797251,0.330434783,0.437931034,0.470066519,0.653614458,0.693430657,26.27586207,29.24137931,7,5.24137931,14.96551724,16.37931034,14.06896552,14.31034483,25.96551724,26.89655172,16.62068966,14.96551724,13.79310345,13.62068966,7.379310345,8.310344828,5.068965517,7.275862069,18.75862069,16.5862069
1266,1437,1,2003,0.821428571,0.5,0.821428571,78.39285714,0.379391101,0.34904014,0.483809524,0.420428894,0.770045386,0.71257485,27.21428571,24.83333333,5.785714286,6.666666667,18.17857143,15.86666667,13.10714286,14.7,24.07142857,23.7,16.32142857,13.06666667,13.57142857,16.03333333,6,7.5,3.642857143,3.4,18.64285714,20.9
1296,1457,1,2003,0.548387097,0.642857143,0.548387097,69.61290323,0.383104126,0.351687389,0.458966565,0.432106599,0.652737752,0.635761589,24.35483871,24.32142857,6.290322581,7.071428571,14.61290323,13.71428571,13,12.03571429,22.64516129,23.96428571,12.67741935,12.60714286,17,14.64285714,7.612903226,7.607142857,3.612903226,5.392857143,19.80645161,19.64285714
1208,1400,0,2003,0.703703704,0.785714286,0.703703704,79.18518519,0.380252101,0.34893617,0.464135021,0.448512586,0.714041096,0.714714715,28.51851852,28,6.703703704,5.857142857,15.44444444,17,12.81481481,16.17857143,24.59259259,26.14285714,17.92592593,14.5,11.55555556,13.42857143,7.62962963,6.392857143,4.37037037,3.857142857,17.18518519,20.35714286
1186,1458,0,2003,0.586206897,0.75862069,0.586206897,69.96551724,0.351421189,0.359126984,0.466666667,0.464491363,0.733719247,0.741134752,23.89655172,25.03448276,4.689655172,6.24137931,17.48275862,14.4137931,9.379310345,10.31034483,22.86206897,22.55172414,14.79310345,13.31034483,17.03448276,10.51724138,7.689655172,6.965517241,2.724137931,2.827586207,21.48275862,14.82758621
1161,1236,1,2003,0.566666667,0.310344828,0.566666667,74,0.363112392,0.334453782,0.50671785,0.425879397,0.700549451,0.700996678,26.4,23.37931034,4.2,6.862068966,17,14.55172414,10.8,9.172413793,23.46666667,23.27586207,15.5,13.55172414,16.13333333,15.86206897,5.333333333,8,4.233333333,3.034482759,20.56666667,19.55172414
1186,1457,1,2003,0.586206897,0.642857143,0.586206897,69.96551724,0.351421189,0.351687389,0.466666667,0.432106599,0.733719247,0.635761589,23.89655172,24.32142857,4.689655172,7.071428571,17.48275862,13.71428571,9.379310345,12.03571429,22.86206897,23.96428571,14.79310345,12.60714286,17.03448276,14.64285714,7.689655172,7.607142857,2.724137931,5.392857143,21.48275862,19.64285714
1156,1194,0,2003,0.266666667,0.222222222,0.266666667,65.63333333,0.371069182,0.335249042,0.446103896,0.392712551,0.659305994,0.668008048,22.9,25.14814815,5.9,6.481481481,13.93333333,12.2962963,10.43333333,14.37037037,21,21.55555556,13.53333333,12.22222222,17.23333333,16.62962963,7.066666667,9.074074074,4.433333333,3.481481481,19.46666667,23.33333333
1296,1458,0,2003,0.548387097,0.75862069,0.548387097,69.61290323,0.383104126,0.359126984,0.458966565,0.464491363,0.652737752,0.741134752,24.35483871,25.03448276,6.290322581,6.24137931,14.61290323,14.4137931,13,10.31034483,22.64516129,22.55172414,12.67741935,13.31034483,17,10.51724138,7.612903226,6.965517241,3.612903226,2.827586207,19.80645161,14.82758621
